[2020-12-13T09:00:14.900122+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-13T09:00:18.790857+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-13T16:10:15.430005+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-13T16:10:22.112135+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-13T16:29:14.358070+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-13T16:40:22.765303+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-13T16:53:04.849105+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-13T16:53:15.705062+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-13T16:53:48.658197+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-13T16:54:11.331192+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-13T16:54:15.199509+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
